len,acc,prec,recall,spec,f1,mcc,auc_roc,auc_pr
8,0.887323944,0.810687022,0.626918535,0.959450621,0.707057257,0.646798842,0.822797247,0.931390403
8,0.882714469,0.830220712,0.577331758,0.967298888,0.681058495,0.627187817,0.817914051,0.928751536
8,0.888348271,0.824644548,0.616292797,0.963701766,0.705405405,0.64859839,0.811017424,0.927483065
8,0.889884763,0.789181691,0.671782762,0.95029431,0.725765306,0.660770246,0.806381895,0.934842552
8,0.870166453,0.857142855,0.481700117,0.977763244,0.616780045,0.578794123,0.808878009,0.922080625
8,0.872727273,0.867647057,0.487603305,0.979398299,0.624338624,0.588290182,0.817171589,0.932145386
8,0.887836108,0.865831841,0.571428571,0.975474166,0.688477951,0.643578713,0.828289972,0.930368059
8,0.881915984,0.889112901,0.520661156,0.982008505,0.656738644,0.622130464,0.828778631,0.932079741
8,0.874231557,0.853174601,0.507674143,0.975793261,0.636565507,0.594294756,0.798521017,0.92234904
8,0.878042531,0.854406129,0.527186761,0.975139025,0.652046783,0.608079744,0.818072031,0.930206301
avg,0.881319135,0.844204936,0.558857991,0.970632208,0.669423402,0.621852328,0.815782187,0.929169671
